name,address,lat,lon,phone
속리산풍경캠핑장,충북 보은군 속리산면 중판1길 24,36.5132559,127.7997335,010-5628-5077
가평뷰캠핑장,경기 가평군 북면 화악산로 270,37.9050084,127.5603348,
달마당 캠핑장,경기 양평군 지평면 고재길 145,37.4299815395993,127.603305719073,010-5064-0421
양주 탑 관광농원 글램핑장,경기 양주시 어하고개로 48-1 (삼숭동),37.8110787191051,127.101975851425,010-5507-8627
지구별캠프,강원특별자치도 영월군 무릉도원면 무릉법흥로 1104,37.3552884,128.2787348,010-8344-8201
은하수별빛마을,강원특별자치도 홍천군 내촌면 아홉사리로 699,37.8079479290556,128.049522908449,010-4756-5588
양평꿈의글램핑,경기 양평군 청운면 황정2길 98-13,37.5570648791214,127.723939204338,
가평무릉도원캠핑장,경기 가평군 상면 임초밤안골로 207,37.7515462209032,127.368073802881,010-8321-6607
스칸디캠프팜,충청남도 보령시 청소면 신송리 455-4,36.4667860914896,126.569102837161,041-934-8578
공주산림휴양마을,충남 공주시 금학동 140-1 ,36.4235175034587,127.118768521238,041-855-0855
아이올레 인 포레스트 캠핑,제주특별자치도 제주시 구좌읍 덕행로 363,33.5175637264437,126.787517433915,010-4166-1118
덕적도 자연휴양림 야영장,인천 옹진군 덕적면 덕적남로 220,37.2152536653321,126.138036527177,032-899-2860
카라반캠핑 고요,전북특별자치도 무주군 설천면 구천동로 1048-26,35.9068847481654,127.763290156119,062-322-0802
기천풍경캠핑,경기 화성시 봉담읍 건달산로 269,37.1959296060371,126.911740307573,010-8728-6003
구시포글램핑,전북특별자치도 고창군 상하면 진암구시포로 547-21,35.4436610743314,126.435402783137,063-563-2295
성주 LOG 캠핑,경북 성주군 가천면 가천로 179-32,35.8908569014627,128.154382311257,010-8884-1986
포레스트힐링캠프,충북 단양군 가곡면 새밭로 240-1,37.0083295,128.4052894,010-3655-7183
해브펀 캠핑 어라운드,경기 파주시 월롱면 도감로 130,37.7915549,126.8001595,031-949-6565
F1 오토캠핑장,전라남도 영암군 삼호읍 삼포리 1894,34.7367086,126.3935277,1577-2324-
대궐오토캠핑장,경기도 양주시 백석읍 기산로440번길 177 ,37.7687295558095,126.939411456572,031-871-8989
더빌리지캠핑장,충남 태안군 근흥면 마금로 184,36.7490814605777,126.228002780212,0507-1371-6460
더 비치 글램핑,경기 안산시 단원구 대부해안로 297 (대부북동),37.2491360199477,126.562513578866,
연천미라클타운,경기 연천군 군남면 군중로 134,38.1310180,127.0450508,010-8696-7271
누크(NOOK) 글램핑&캠핑,강원특별자치도 홍천군 내면 내린천로 399,37.8283143941053,128.391797267562,
화천마음이머무는곳,강원도 화천군 사내면 포화로 653-76 ,38.0850514753123,127.48696541566,033-441-6066
항도야영장,경상남도 남해군 미조면 송정리 355-20,34.7414660,128.0481857,055-867-6665
화봉캠핑클럽,경북 포항시 북구 기계면 기동지길 255,36.0895815,129.219524,
백덕산 캠핑장,강원 영월군 주천면 중선로 569-4,37.3400050,128.308387,010-3695-5533
캠프빌리지,경남 거제시 장목면 옥포대첩로 1375,34.9725201,128.6947951,055-636-1002
갈현동화마을 오토캠핑장,경남 남해군 삼동면 봉화로372번길 56-8,34.8107353292857,127.998106615319,010-4566-4466
곡식정원(관광농원),전남 무안군 현경면 봉월로 281-11,35.073955495203,126.381382910383,061-453-0024
구릉지캠핑장,경기 여주시 금사면 금품2로 425,37.3782985164698,127.466959564738,010-2452-9442
오후애캠핑,경남 고성군 영오면 영회로 651,35.1155841563301,128.249117076335,010-5642-2918
김천부항댐 산내들 오토캠핑장,경상북도 김천시 지례면 도곡리 722,35.9779879,128.0112684,054-431-2011
망상오토캠핑리조트 제2오토캠핑장,강원 동해시 동해대로 6220 (망상동),37.5903965,129.0938782,033-539-3618
작천정 별빛야영장,울산광역시 울주군 상북면 등억리 18-2 ,35.5516534,129.0955023,052-229-9601
목사골 야영장,전남 곡성군 목사동면 용봉리 425,35.1059221,127.3125246,061-362-8466
늘푸른캠핑장,경상북도 포항시 북구 송라면 중리길14 ,36.2349086,129.3361028,010-6568-1185
캠프포레,경남 양산시 원동면 청수골길 106,35.5217640132366,129.017492275282,010-3571-0875
포레스트벨리캠프,경기 남양주시 수동면 철마산로 388-1,37.7161450,127.259031,0507-1343-0642
오오유캠핑,경남 함안군 산인면 입곡공원길 224-77,35.2579901736078,128.444460077557,
비비드 글램핑,경남 사천시 실안길 292 (실안동),34.951588782625,128.05386482858,010-4520-5533
포레스트사운드 캠핑장,경기 포천시 신북면 포천로 1724,37.9084146479117,127.192882499533,
제주인포항 개별 수영장 카라반,경북 포항시 남구 호미곶면 구만길 198,36.0853088864233,129.554920263924,
장신리 마을관리휴양지,강원 고성군 간성읍 소똥령마을길 32,38.3304976308329,128.378397636287,033-681-8126
학현아름마을오토캠핑장,충북 제천시 청풍면 학현소야로 206,37.0084618,128.2041053,010-3459-5665
원시관광농원,강원도 양양군 현남면 전포매리 90-1 ,37.9425582105956,128.765973349212,
제이제이파크,대전 대덕구 신탄진로115번안길 39-1 (신대동),36.3932347209448,127.416474866125,0507-1351-1794
캠핑 앨리스,경기 양평군 양동면 양동로 1112,37.4732729,127.7326408,031-772-0923
고성 봉수대 원더캠프&비치,강원특별자치도 고성군 죽왕면 봉수대길 10-22,38.3236554203286,128.526564805009,
스므나리 캠핑장,강원특별자치도 횡성군 서원면 월송석화로 253,,,010-8921-3357
라라랜드,충북 제천시 백운면 애련로 748-56,37.104961048911,128.047044588018,043-646-4520
농업회사법인 유한회사 여산보리수,전북특별자치도 익산시 여산면 천호로 103-55,36.0385492417687,127.103741905838,063-833-5675
